rank,sector_name,concept_final_rank_score,trend_continuation_score,trend_level_cn,short_term_burst_score,burst_level_cn,agent_consensus_label,agent_ranking_score,agent_opportunity_score,risk_control_score,confidence_score,evidence_score,history_days,actual_history_days,trend_window_status
1,国家大基金持股,78.88,81.2,重点观察,66.8,短线活跃,strong_consensus,85.0,66.0,100.0,0.9,70.0,20,10,ok
2,光刻胶,75.11,81.0,重点观察,52.8,短线中性,trend_confirmed,83.0,63.0,100.0,0.8,70.0,20,10,ok
3,存储芯片,74.73,78.2,观察,55.8,短线中性,trend_confirmed,83.0,63.0,100.0,0.9,70.0,20,10,ok
4,第三代半导体,68.51,73.0,观察,39.8,短线降温,trend_confirmed,81.0,57.0,100.0,0.8,70.0,20,10,ok
5,超导概念,67.11,63.0,中性,49.8,短线降温,trend_confirmed,81.0,58.0,100.0,0.9,70.0,20,10,ok
6,氟化工概念,65.83,62.2,中性,49.8,短线降温,trend_confirmed,79.0,54.0,100.0,0.9,70.0,20,10,ok
7,动物疫苗,64.96,60.0,中性,49.8,短线降温,trend_confirmed,79.0,53.0,100.0,0.9,70.0,20,10,ok
8,光刻机,62.85,64.25,中性,31.3,短线偏弱,trend_confirmed,79.0,54.0,100.0,0.7,70.0,20,10,ok
9,阿尔茨海默概念,62.13,56.2,中性,57.8,短线中性,trend_confirmed,71.0,46.0,100.0,0.9,70.0,20,10,ok
10,创新药,58.62,56.45,中性,66.3,短线活跃,oversold_rebound_candidate,56.0,38.0,100.0,0.7,70.0,20,10,ok
11,仿制药一致性评价,58.42,56.45,中性,63.3,短线中性,trend_confirmed_but_strength_limited,57.0,39.0,100.0,0.9,70.0,20,10,ok
12,猴痘概念,56.13,54.2,中性,57.8,短线中性,trend_confirmed_but_strength_limited,56.0,38.0,100.0,0.9,70.0,20,10,ok
13,辅助生殖,56.13,54.2,中性,57.8,短线中性,trend_confirmed_but_strength_limited,56.0,38.0,100.0,0.9,70.0,20,10,ok
14,肝炎概念,56.03,54.2,中性,57.8,短线中性,trend_confirmed_but_strength_limited,56.0,37.0,100.0,0.9,70.0,20,10,ok
15,工业大麻,51.36,48.0,降温,49.8,短线降温,trend_confirmed_but_strength_limited,54.0,34.0,100.0,0.9,70.0,20,10,ok
16,合成生物,51.36,54.0,中性,57.8,短线中性,conflicted,41.0,36.0,100.0,0.7,70.0,20,10,ok
17,重组蛋白,51.29,48.65,降温,64.3,短线中性,conflicted,42.0,38.0,100.0,0.7,70.0,20,10,ok
18,高压氧舱,51.01,49.0,降温,46.8,短线降温,trend_confirmed_but_strength_limited,54.0,33.0,100.0,0.9,70.0,20,10,ok
19,宠物经济,50.56,46.0,降温,49.8,短线降温,trend_confirmed_but_strength_limited,54.0,33.0,100.0,0.9,70.0,20,10,ok
20,丙烯酸,48.01,57.0,中性,39.8,短线降温,conflicted,40.0,31.0,100.0,0.7,70.0,20,10,ok
21,芬太尼,45.11,41.0,降温,49.8,短线降温,conflicted,41.0,35.0,100.0,0.7,70.0,20,10,ok
22,白酒概念,44.61,43.0,降温,49.8,短线降温,conflicted,39.0,29.0,100.0,0.7,70.0,20,10,ok
23,超级电容,44.12,50.45,中性,28.3,短线偏弱,conflicted,41.0,35.0,100.0,0.6,70.0,20,10,ok
24,AI PC,43.42,50.45,中性,25.3,短线偏弱,conflicted,41.0,34.0,100.0,0.6,70.0,20,10,ok
25,福建自贸区,43.31,43.0,降温,36.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.9,70.0,20,10,ok
26,航运概念,43.31,43.0,降温,36.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.9,70.0,20,10,ok
27,高股息精选,43.19,43.8,降温,49.8,短线降温,weak_or_avoid,32.0,33.0,100.0,0.9,70.0,20,10,ok
28,参股券商,42.96,42.0,降温,36.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.9,70.0,20,10,ok
29,海南自贸区,42.96,42.0,降温,36.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.9,70.0,20,10,ok
30,超级品牌,42.91,41.0,降温,49.8,短线降温,weak_or_avoid,33.0,37.0,100.0,0.9,70.0,20,10,ok
31,三胎概念,42.86,38.0,降温,46.8,短线降温,conflicted,40.0,32.0,100.0,0.7,70.0,20,10,ok
32,华为海思概念股,42.52,52.45,中性,25.3,短线偏弱,weak_or_avoid,34.0,39.0,100.0,0.6,70.0,20,10,ok
33,供销社,42.26,40.0,降温,36.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.9,70.0,20,10,ok
34,共同富裕示范区,42.26,40.0,降温,36.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.9,70.0,20,10,ok
35,参股银行,42.26,40.0,降温,36.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.9,70.0,20,10,ok
36,黑龙江自贸区,42.26,40.0,降温,36.8,短线降温,defensive_stable_watch,47.0,18.0,100.0,0.9,70.0,20,10,ok
37,电子纸,42.22,50.45,中性,21.3,短线偏弱,conflicted,40.0,33.0,100.0,0.6,70.0,20,10,ok
38,国企改革,42.16,40.0,降温,36.8,短线降温,defensive_stable_watch,47.0,17.0,100.0,0.9,70.0,20,10,ok
39,冰雪产业,41.86,36.0,降温,39.8,短线降温,defensive_stable_watch,48.0,19.0,100.0,0.9,70.0,20,10,ok
40,钙钛矿电池,41.65,48.25,降温,28.3,短线偏弱,conflicted,38.0,27.0,100.0,0.6,70.0,20,10,ok
